Lodgement Date,Postcode,Dwelling Type,Bedrooms,Weekly Rent
26/05/2022,2000,F,0,420
25/05/2022,2000,F,0,450
02/05/2022,2000,F,0,104
02/05/2022,2000,F,0,470
07/05/2022,2000,F,0,480
16/05/2022,2000,F,0,480
16/05/2022,2000,F,0,590
20/05/2022,2000,F,0,400
20/05/2022,2000,F,0,450
06/05/2022,2000,F,0,385
11/05/2022,2000,F,0,420
13/05/2022,2000,F,0,450
31/05/2022,2000,F,0,450
27/05/2022,2000,F,1,1304
23/05/2022,2000,F,1,800
27/05/2022,2000,F,1,650
24/05/2022,2000,F,1,370
25/05/2022,2000,F,1,680
24/05/2022,2000,F,1,700
24/05/2022,2000,F,1,895
26/05/2022,2000,F,1,950
27/05/2022,2000,F,1,550
25/05/2022,2000,F,1,590
23/05/2022,2000,F,1,550
30/05/2022,2000,F,1,450
26/05/2022,2000,F,1,560
25/05/2022,2000,F,1,800
21/05/2022,2000,F,1,750
25/05/2022,2000,F,1,520
24/05/2022,2000,F,1,440
25/05/2022,2000,F,1,1050
27/05/2022,2000,F,1,600
24/05/2022,2000,F,1,775
24/05/2022,2000,F,1,1125
24/05/2022,2000,F,1,660
23/05/2022,2000,F,1,700
26/05/2022,2000,F,1,900
24/05/2022,2000,F,1,650
30/05/2022,2000,F,1,460
30/05/2022,2000,F,1,540
30/05/2022,2000,F,1,660
24/05/2022,2000,F,1,500
24/05/2022,2000,F,1,600
24/05/2022,2000,F,1,600
27/05/2022,2000,F,1,925
26/05/2022,2000,F,1,670
27/05/2022,2000,F,1,690
30/05/2022,2000,F,1,600
30/05/2022,2000,F,1,650
30/05/2022,2000,F,1,900
30/05/2022,2000,F,1,550
05/05/2022,2000,F,1,650
05/05/2022,2000,F,1,825
06/05/2022,2000,F,1,600
05/05/2022,2000,F,1,850
05/05/2022,2000,F,1,515
05/05/2022,2000,F,1,690
05/05/2022,2000,F,1,650
06/05/2022,2000,F,1,790
06/05/2022,2000,F,1,650
03/05/2022,2000,F,1,750
03/05/2022,2000,F,1,460
03/05/2022,2000,F,1,600
02/05/2022,2000,F,1,720
03/05/2022,2000,F,1,370
03/05/2022,2000,F,1,600
02/05/2022,2000,F,1,800
03/05/2022,2000,F,1,895
02/05/2022,2000,F,1,700
03/05/2022,2000,F,1,680
03/05/2022,2000,F,1,435
04/05/2022,2000,F,1,420
04/05/2022,2000,F,1,500
02/05/2022,2000,F,1,750
02/05/2022,2000,F,1,700
02/05/2022,2000,F,1,500
02/05/2022,2000,F,1,1100
02/05/2022,2000,F,1,600
02/05/2022,2000,F,1,1276
02/05/2022,2000,F,1,520
03/05/2022,2000,F,1,350
03/05/2022,2000,F,1,700
05/05/2022,2000,F,1,550
03/05/2022,2000,F,1,410
04/05/2022,2000,F,1,750
03/05/2022,2000,F,1,370
03/05/2022,2000,F,1,715
05/05/2022,2000,F,1,850
03/05/2022,2000,F,1,415
05/05/2022,2000,F,1,660
